site_name_id,site_name,site_area_id,site_area,date_time,day,month,year,hour,minute,enterococci_value
99550,Dromana Beach,1282.0,Dromana,01/12/2020 07:40,Tuesday,December,2020,7,40,10
99550,Dromana Beach,1282.0,Dromana,08/12/2020 07:20,Tuesday,December,2020,7,20,41
99550,Dromana Beach,1282.0,Dromana,15/12/2020 07:45,Tuesday,December,2020,7,45,30
99550,Dromana Beach,1282.0,Dromana,22/12/2020 07:35,Tuesday,December,2020,7,35,860
99550,Dromana Beach,1282.0,Dromana,05/01/2021 07:40,Tuesday,January,2021,7,40,130
99550,Dromana Beach,1282.0,Dromana,12/01/2021 07:40,Tuesday,January,2021,7,40,110
99550,Dromana Beach,1282.0,Dromana,19/01/2021 07:20,Tuesday,January,2021,7,20,10
99550,Dromana Beach,1282.0,Dromana,02/02/2021 07:35,Tuesday,February,2021,7,35,20
99550,Dromana Beach,1282.0,Dromana,23/02/2021 07:45,Tuesday,February,2021,7,45,20
99550,Dromana Beach,1282.0,Dromana,02/03/2021 07:50,Tuesday,March,2021,7,50,10
99550,Dromana Beach,1282.0,Dromana,07/12/2021 07:50,Tuesday,December,2021,7,50,63
99550,Dromana Beach,1282.0,Dromana,14/12/2021 08:01,Tuesday,December,2021,8,1,10
99550,Dromana Beach,1282.0,Dromana,21/12/2021 07:50,Tuesday,December,2021,7,50,74
99550,Dromana Beach,1282.0,Dromana,04/01/2022 08:14,Tuesday,January,2022,8,14,74
99550,Dromana Beach,1282.0,Dromana,11/01/2022 07:53,Tuesday,January,2022,7,53,10
99550,Dromana Beach,1282.0,Dromana,24/01/2022 08:13,Monday,January,2022,8,13,41
99550,Dromana Beach,1282.0,Dromana,01/02/2022 08:06,Tuesday,February,2022,8,6,10
99550,Dromana Beach,1282.0,Dromana,02/11/2022 08:21,Wednesday,November,2022,8,21,240
99550,Dromana Beach,1282.0,Dromana,15/11/2022 08:16,Tuesday,November,2022,8,16,260
99550,Dromana Beach,1282.0,Dromana,22/11/2022 08:40,Tuesday,November,2022,8,40,260
99550,Dromana Beach,1282.0,Dromana,29/11/2022 08:50,Tuesday,November,2022,8,50,52
99550,Dromana Beach,1282.0,Dromana,13/12/2022 07:52,Tuesday,December,2022,7,52,190
99550,Dromana Beach,1282.0,Dromana,28/12/2022 08:05,Wednesday,December,2022,8,5,360
99550,Dromana Beach,1282.0,Dromana,03/01/2023 07:55,Tuesday,January,2023,7,55,31
99550,Dromana Beach,1282.0,Dromana,24/01/2023 08:13,Tuesday,January,2023,8,13,10
99550,Dromana Beach,1282.0,Dromana,31/01/2023 07:50,Tuesday,January,2023,7,50,190
99550,Dromana Beach,1282.0,Dromana,05/02/2023 08:55,Sunday,February,2023,8,55,20
99550,Dromana Beach,1282.0,Dromana,07/02/2023 07:55,Tuesday,February,2023,7,55,10
99550,Dromana Beach,1282.0,Dromana,28/02/2023 08:15,Tuesday,February,2023,8,15,20
99550,Dromana Beach,1282.0,Dromana,07/03/2023 08:40,Tuesday,March,2023,8,40,270
99550,Dromana Beach,1282.0,Dromana,14/03/2023 08:45,Tuesday,March,2023,8,45,10
99550,Dromana Beach,1282.0,Dromana,28/03/2023 08:36,Tuesday,March,2023,8,36,74
99550,Dromana Beach,1282.0,Dromana,18/04/2023 08:25,Tuesday,April,2023,8,25,10
99550,Dromana Beach,1282.0,Dromana,16/05/2023 08:50,Tuesday,May,2023,8,50,150
99550,Dromana Beach,1282.0,Dromana,23/05/2023 08:50,Tuesday,May,2023,8,50,52
99550,Dromana Beach,1282.0,Dromana,20/06/2023 09:20,Tuesday,June,2023,9,20,84
99550,Dromana Beach,1282.0,Dromana,27/06/2023 09:30,Tuesday,June,2023,9,30,110
99550,Dromana Beach,1282.0,Dromana,11/07/2023 09:10,Tuesday,July,2023,9,10,61
99550,Dromana Beach,1282.0,Dromana,25/07/2023 09:55,Tuesday,July,2023,9,55,41
99550,Dromana Beach,1282.0,Dromana,22/08/2023 09:15,Tuesday,August,2023,9,15,1000
99550,Dromana Beach,1282.0,Dromana,05/09/2023 08:35,Tuesday,September,2023,8,35,41
99550,Dromana Beach,1282.0,Dromana,19/09/2023 08:00,Tuesday,September,2023,8,0,10
99550,Dromana Beach,1282.0,Dromana,02/10/2023 08:50,Monday,October,2023,8,50,3700
99550,Dromana Beach,1282.0,Dromana,31/10/2023 16:40,Tuesday,October,2023,16,40,74
99550,Dromana Beach,1282.0,Dromana,14/11/2023 07:55,Tuesday,November,2023,7,55,10
99550,Dromana Beach,1282.0,Dromana,05/12/2023 07:45,Tuesday,December,2023,7,45,10
